Date,Open,High,Low,Close,Volume,OpenInterest
2005-01-03,2952.29,2989.61,2946.80,2970.02,0,0
2005-01-04,2969.78,2979.88,2961.14,2971.12,0,0
2005-01-05,2969.00,2969.00,2942.69,2947.19,0,0
2005-01-06,2947.44,2967.65,2947.44,2966.24,0,0
2005-01-07,2965.54,2988.99,2964.48,2979.82,0,0
2005-01-10,2980.30,2986.07,2967.79,2977.21,0,0
2005-01-11,2977.14,2981.51,2943.42,2949.29,0,0
2005-01-12,2948.89,2952.79,2914.00,2924.01,0,0
2005-01-13,2925.60,2943.09,2922.91,2936.32,0,0
2005-01-14,2933.58,2951.77,2925.13,2948.22,0,0
2005-01-17,2948.11,2963.22,2948.11,2963.06,0,0
2005-01-18,2962.28,2965.60,2940.77,2962.50,0,0
2005-01-19,2963.91,2976.33,2957.21,2959.90,0,0
2005-01-20,2957.55,2957.55,2929.78,2937.71,0,0
2005-01-21,2937.27,2944.92,2927.62,2940.87,0,0
2005-01-24,2939.68,2940.02,2916.08,2937.83,0,0
2005-01-25,2937.66,2960.90,2932.56,2958.61,0,0
2005-01-26,2958.31,2967.62,2954.36,2956.43,0,0
2005-01-27,2956.32,2970.81,2948.55,2970.81,0,0
2005-01-28,2969.91,2977.99,2950.68,2955.89,0,0
2005-01-31,2958.07,2987.88,2958.07,2984.75,0,0
2005-02-01,2984.63,3008.85,2982.06,3008.85,0,0
2005-02-02,3009.08,3022.87,3008.92,3021.95,0,0
2005-02-03,3021.94,3023.85,3001.87,3010.39,0,0
2005-02-04,3011.58,3038.31,3011.58,3037.13,0,0
2005-02-07,3037.21,3055.27,3037.21,3051.97,0,0
2005-02-08,3052.01,3058.09,3044.78,3056.65,0,0
2005-02-09,3056.37,3064.30,3036.16,3044.36,0,0
2005-02-10,3047.97,3056.80,3035.37,3044.00,0,0
2005-02-11,3046.36,3080.08,3046.36,3079.85,0,0
2005-02-14,3079.93,3083.38,3065.27,3075.76,0,0
2005-02-15,3075.20,3091.64,3071.08,3086.95,0,0
2005-02-16,3087.30,3087.30,3057.17,3068.55,0,0
2005-02-17,3068.79,3082.69,3064.96,3067.34,0,0
2005-02-18,3067.26,3080.91,3062.52,3072.04,0,0
2005-02-21,3072.31,3079.89,3054.91,3063.64,0,0
2005-02-22,3062.99,3062.99,3029.22,3045.24,0,0
2005-02-23,3042.65,3042.65,3007.08,3028.08,0,0
2005-02-24,3030.17,3032.97,3020.33,3024.80,0,0
2005-02-25,3029.07,3062.79,3029.07,3062.72,0,0
2005-02-28,3063.85,3081.86,3058.32,3058.35,0,0
2005-03-01,3056.45,3082.87,3054.03,3078.44,0,0
2005-03-02,3078.89,3082.71,3060.09,3082.71,0,0
2005-03-03,3080.71,3091.09,3072.08,3078.11,0,0
2005-03-04,3079.93,3106.86,3079.06,3106.86,0,0
2005-03-07,3106.98,3117.77,3106.42,3114.54,0,0
2005-03-08,3113.82,3113.82,3093.64,3097.34,0,0
2005-03-09,3098.91,3115.06,3078.07,3081.99,0,0
2005-03-10,3079.01,3079.01,3048.60,3053.62,0,0
2005-03-11,3058.37,3073.75,3057.56,3060.36,0,0
2005-03-14,3060.06,3065.04,3050.05,3060.72,0,0
2005-03-15,3062.77,3086.48,3062.77,3083.73,0,0
2005-03-16,3083.33,3083.33,3030.43,3032.13,0,0
2005-03-17,3032.84,3045.04,3025.33,3039.80,0,0
2005-03-18,3040.38,3062.94,3040.38,3053.54,0,0
2005-03-21,3052.39,3059.18,3037.80,3038.14,0,0
2005-03-22,3040.55,3053.18,3021.66,3050.44,0,0
2005-03-23,3040.66,3040.82,3019.29,3036.85,0,0
2005-03-24,3039.55,3063.41,3037.20,3060.67,0,0
