Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,10.940000,11.250000,10.800000,11.210000,9.971185,32064900
2003-01-03,11.190000,11.620000,11.120000,11.560000,10.282507,30879500
2003-01-06,11.540000,12.110000,11.540000,11.960000,10.638303,45324400
2003-01-07,11.890000,12.800000,11.760000,12.690000,11.287631,72764800
2003-01-08,12.570000,12.650000,12.070000,12.120000,10.780618,53623200
2003-01-09,12.460000,13.180000,12.400000,13.010000,11.572268,71178800
2003-01-10,12.660000,13.250000,12.490000,13.070000,11.625636,52033600
2003-01-13,13.300000,13.360000,12.830000,12.930000,11.501109,40588200
2003-01-14,12.880000,13.200000,12.800000,13.110000,11.661217,39310400
2003-01-15,13.150000,13.240000,12.460000,12.530000,11.145312,41972100
2003-01-16,12.510000,12.800000,12.100000,12.170000,10.825096,50428400
2003-01-17,11.680000,11.740000,11.420000,11.440000,10.175767,55319200
2003-01-21,11.590000,11.920000,11.470000,11.570000,10.291402,36345400
2003-01-22,11.590000,12.140000,11.450000,11.620000,10.335875,45273300
2003-01-23,12.050000,12.590000,11.890000,12.460000,11.083047,46467100
2003-01-24,12.410000,12.440000,11.670000,11.770000,10.469296,45555000
2003-01-27,11.800000,12.060000,11.600000,11.930000,10.611618,44095200
2003-01-28,12.150000,12.160000,11.710000,11.970000,10.647197,36313900
2003-01-29,11.780000,12.190000,11.550000,12.020000,10.691673,36287500
2003-01-30,12.080000,12.480000,11.690000,11.750000,10.451510,38272500
2003-01-31,11.590000,12.180000,11.500000,12.030000,10.700568,48082000
2003-02-03,12.010000,12.140000,11.890000,12.010000,10.682778,30451300
2003-02-04,11.850000,12.130000,11.520000,11.730000,10.433721,47845200
2003-02-05,11.880000,12.040000,11.500000,11.520000,10.246928,41316900
2003-02-06,11.510000,11.720000,11.330000,11.530000,10.255820,39066500
2003-02-07,11.740000,11.900000,11.260000,11.340000,10.086818,43943700
2003-02-10,11.410000,11.800000,11.380000,11.750000,10.451510,33763500
2003-02-11,11.840000,12.140000,11.720000,11.910000,10.593827,46126300
2003-02-12,11.820000,11.950000,11.490000,11.500000,10.229136,39650300
2003-02-13,11.560000,11.690000,11.350000,11.540000,10.264715,34557500
2003-02-14,11.560000,11.920000,11.350000,11.700000,10.407034,41473100
2003-02-18,11.900000,12.440000,11.790000,12.420000,11.047471,40391400
2003-02-19,12.330000,12.370000,12.120000,12.320000,10.958520,34828800
2003-02-20,12.390000,12.470000,12.230000,12.310000,10.949624,31167700
2003-02-21,12.180000,12.440000,11.870000,12.390000,11.020787,44233400
2003-02-24,12.190000,12.450000,11.810000,11.820000,10.513773,45766300
2003-02-25,11.640000,12.010000,11.480000,11.940000,10.620513,47223800
2003-02-26,11.910000,12.100000,11.670000,11.720000,10.424827,40775700
2003-02-27,11.910000,12.090000,11.730000,11.890000,10.576039,36829700
2003-02-28,11.890000,12.140000,11.830000,11.960000,10.638303,35480000
2003-03-03,12.200000,12.200000,11.640000,11.690000,10.398142,34375200
2003-03-04,11.740000,11.860000,11.550000,11.630000,10.344773,37421000
2003-03-05,11.380000,11.410000,10.990000,11.170000,9.935604,64571400
2003-03-06,11.180000,11.350000,11.020000,11.160000,9.926711,37140800
2003-03-07,10.940000,11.300000,10.840000,11.060000,9.837760,44083500
2003-03-10,10.820000,11.000000,10.670000,10.760000,9.570913,30568300
2003-03-11,10.810000,10.960000,10.650000,10.680000,9.499754,36460600
2003-03-12,10.650000,11.060000,10.640000,11.000000,9.784389,41539800
2003-03-13,11.310000,11.940000,11.190000,11.900000,10.584934,57891600
2003-03-14,11.890000,12.050000,11.650000,11.940000,10.620513,51565800
2003-03-17,11.710000,12.450000,11.600000,12.350000,10.985206,56316800
2003-03-18,12.370000,12.450000,12.060000,12.250000,10.896253,58587300
2003-03-19,11.650000,11.830000,11.100000,11.310000,10.060135,123560800
2003-03-20,11.430000,11.600000,11.110000,11.500000,10.229136,55821400
2003-03-21,11.690000,11.830000,11.270000,11.350000,10.095716,65517600
2003-03-24,11.140000,11.300000,10.990000,11.030000,9.811075,42180200
2003-03-25,11.190000,11.490000,11.070000,11.300000,10.051239,41673400
2003-03-26,11.340000,11.580000,11.250000,11.440000,10.175767,38346100
2003-03-27,11.300000,11.510000,11.230000,11.360000,10.104609,29790500
2003-03-28,11.250000,11.390000,11.100000,11.100000,9.873343,27751300
2003-03-31,10.830000,11.090000,10.820000,10.850000,9.650972,44908800
2003-04-01,10.880000,10.910000,10.650000,10.760000,9.570913,50467600
2003-04-02,11.060000,11.560000,10.900000,11.460000,10.193557,48276800
2003-04-03,11.820000,11.860000,11.540000,11.620000,10.335875,44264100
2003-04-04,11.660000,11.740000,11.000000,11.370000,10.113503,34937000
2003-04-07,11.900000,12.510000,11.680000,11.710000,10.415929,45510400
2003-04-08,11.670000,11.740000,11.480000,11.500000,10.229136,34791300
2003-04-09,11.620000,11.640000,11.160000,11.170000,9.935604,39120000
2003-04-10,11.190000,11.450000,11.070000,11.370000,10.113503,31242200
2003-04-11,11.520000,11.690000,11.200000,11.290000,10.042344,27457400
2003-04-14,11.330000,11.710000,11.230000,11.660000,10.371456,28588700
2003-04-15,11.530000,11.750000,11.460000,11.540000,10.264715,33429700
2003-04-16,11.760000,11.950000,11.560000,11.580000,10.300299,41489400
2003-04-17,11.550000,12.010000,11.460000,12.000000,10.673881,35670800
2003-04-21,11.980000,12.190000,11.800000,11.840000,10.531563,29742500
2003-04-22,11.790000,12.190000,11.700000,12.130000,10.789515,33697200
2003-04-23,11.930000,12.080000,11.870000,12.000000,10.673881,30255100
2003-04-24,11.830000,12.090000,11.760000,12.030000,10.700568,31261600
2003-04-25,11.960000,12.020000,11.770000,11.790000,10.487089,26159300
2003-04-28,11.800000,12.040000,11.660000,11.970000,10.647197,29737500
